id,observed_on,quality_grade,longitude,latitude,common_name
68576190,2021-01-22,research,-124.2412064844,49.3151610442,Tiger Rockfish
68882908,2020-09-13,research,-124.2421228543,49.3134881404,copper rockfish
68882914,2020-09-13,research,-124.2421228543,49.3134881404,copper rockfish
68891220,2016-10-03,research,-124.2066710043,49.3164386292,Quillback Rockfish
68891221,2016-10-03,research,-124.2146987387,49.317437201,Quillback Rockfish
68947546,2005-03-15,research,-123.5325294813,48.2987401851,Quillback Rockfish
68947669,2002-04-15,research,-123.5324812015,48.2987687343,Black rockfish
68947839,2010-06-15,research,-123.5325455745,48.2986545371,Tiger Rockfish
68948126,2010-08-23,research,-123.5312366565,48.2991220304,Yellowtail Rockfish
68948190,2010-03-19,research,-123.5311830124,48.2991041873,copper rockfish
68948239,2010-08-15,research,-123.5318106493,48.2990827754,Puget Sound Rockfish
68952201,2021-01-20,research,-124.2433166049,49.3131761299,copper rockfish
68952218,2021-01-20,research,-124.2433166049,49.3131761299,copper rockfish
68953406,2021-01-23,research,-124.1707918252,49.302480926,copper rockfish
69246158,2021-02-03,research,-124.2411239292,49.3156660684,Yelloweye rockfish
69246159,2021-02-03,research,-124.2411239292,49.3156660684,Yelloweye rockfish
69246164,2021-02-03,research,-124.2411239292,49.3156660684,Yelloweye rockfish
69246174,2021-02-03,research,-124.2411239292,49.3156660684,copper rockfish
69246178,2021-02-03,research,-124.2411239292,49.3156660684,Quillback Rockfish
69322483,2018-06-21,research,-123.470806705,48.5811494383,Yellowtail Rockfish
69322485,2018-06-21,research,-123.470806705,48.5811494383,copper rockfish
69322488,2018-06-21,research,-123.470806705,48.5811494383,copper rockfish
69354903,2021-02-07,research,-124.1407133561,49.2921275733,Quillback Rockfish
69354911,2021-02-07,research,-124.1407133561,49.2921275733,copper rockfish
69375359,2009-07-26,research,-125.136803226,48.833234671,copper rockfish
69381029,2021-02-09,research,-123.3880090714,48.4064571725,Yellowtail Rockfish
69521233,2021-02-12,research,-124.1405102562,49.2909615169,copper rockfish
69521276,2021-02-12,research,-124.1404458831,49.290989507,Quillback Rockfish
69521332,2021-02-12,research,-124.1403815101,49.2911854377,Quillback Rockfish
69521771,2021-02-12,research,-124.1404244255,49.2912274227,copper rockfish
69521895,2021-02-12,research,-124.1404673408,49.2910454873,Quillback Rockfish
69521939,2021-02-12,research,-124.1399523567,49.2913813675,Quillback Rockfish
69521969,2021-02-12,research,-124.1404244255,49.291255412700004,Yellowtail Rockfish
69684785,2015-05-31,research,-125.1993687001,48.8828083227,Vermilion Rockfish
69790000,2016-06-03,research,-125.1858815488,48.8548924544,copper rockfish
69790002,2016-06-03,research,-125.1873835858,48.85455361,Black rockfish
69820987,2008-05-24,research,-123.3282,48.912026,Redstripe Rockfish
69935488,2021-02-20,research,-124.2138526709,49.3055128632,copper rockfish
70043923,2021-02-21,research,-124.2428721726,49.3145968325,Yelloweye rockfish
70043973,2021-02-21,research,-124.2432788937,49.3143206312,Yelloweye rockfish
70043990,2021-02-21,research,-124.2432052472,49.3143381382,Yelloweye rockfish
70044031,2021-02-21,research,-124.2428082859,49.3143593475,Yelloweye rockfish
70169915,2020-03-31,research,-123.3872207449,48.4118041229,copper rockfish
70347596,2019-09-21,research,-123.6981474635,48.1806456776,Widow Rockfish
70379331,2021-02-11,research,-124.2142853227,49.3045615849,Brown Rockfish
70379343,2021-02-11,research,-124.2142853227,49.3045615849,Brown Rockfish
70379348,2021-02-11,research,-124.2142853227,49.3045615849,copper rockfish
70379356,2021-02-11,research,-124.2142853227,49.3045615849,copper rockfish
70379374,2021-02-11,research,-124.2142853227,49.3045615849,copper rockfish
70379382,2021-02-11,research,-124.2142853227,49.3045615849,copper rockfish
70379385,2021-02-11,research,-124.2142853227,49.3045615849,Brown Rockfish
70380128,2021-02-17,research,-124.1433765275,49.2935019021,Tiger Rockfish
70380140,2021-02-17,research,-124.1433765275,49.2935019021,Yellowtail Rockfish
70380798,2021-02-28,research,-124.139673407,49.2906151374,Tiger Rockfish
70380841,2021-02-28,research,-124.1402313064,49.2911469513,Yellowtail Rockfish
70469404,2020-12-16,research,-124.141303266,49.2907026859,Quillback Rockfish
70487007,2021-03-02,research,-123.5563111987,48.9670371736,Quillback Rockfish
70487009,2021-03-02,research,-123.5563111987,48.9670371736,copper rockfish
70489476,2021-02-23,research,-124.1387392506,49.2918896616,Quillback Rockfish
70707593,2021-03-05,research,-124.2424967783,49.3146296326,Yelloweye rockfish
70708558,2021-03-05,research,-124.2412928877,49.3146235404,Tiger Rockfish
70819052,2021-03-07,research,-124.2187584075,49.31556347,copper rockfish
70823554,2021-03-07,research,-124.2190588149,49.3158502251,Tiger Rockfish
71199786,2021-02-28,research,-124.208168131,49.306675088,copper rockfish
71199791,2021-02-28,research,-124.208168131,49.306675088,Quillback Rockfish
71199814,2021-02-28,research,-124.208168131,49.306675088,copper rockfish
71428226,2021-03-16,research,-124.2428564533,49.3147098129,copper rockfish
71428303,2021-03-16,research,-124.243568501,49.3143111939,copper rockfish
71431849,2021-03-16,research,-124.2432618863,49.3145175537,Yelloweye rockfish
71432582,2021-03-16,research,-124.2427236354,49.314634345100004,Yelloweye rockfish
71432684,2021-03-16,research,-124.2428286777,49.3147269344,Yelloweye rockfish
71432734,2021-03-16,research,-124.2429457967,49.3145159316,Yelloweye rockfish
71432788,2021-03-16,research,-124.2420664631,49.3149093651,Yelloweye rockfish
71432871,2021-03-16,research,-124.2418350021,49.3147307706,Yelloweye rockfish
71731670,2021-03-20,research,-124.218007389,49.3152976955,Quillback Rockfish
71732083,2021-03-20,research,-124.2182648811,49.31518579,Tiger Rockfish
71887934,2021-03-22,research,-124.1692406789,49.301032724,copper rockfish
71887975,2021-03-22,research,-124.1691548482,49.3010047396,copper rockfish
71888051,2021-03-22,research,-124.1689617292,49.3008648171,copper rockfish
72233090,2014-08-10,research,-124.2203298521,49.3152114596,Tiger Rockfish
72233168,2014-08-10,research,-124.2240831875,49.3158126166,Tiger Rockfish
72233212,2014-08-10,research,-124.2217872166,49.3155328554,Tiger Rockfish
72233254,2014-08-10,research,-124.2217443012,49.3153090452,Tiger Rockfish
72233346,2014-08-10,research,-124.2201993488,49.3149873163,Tiger Rockfish
72233404,2014-08-10,research,-124.2234328141,49.3158502501,Yelloweye rockfish
72233464,2014-08-10,research,-124.22363257639999,49.3151132105,Yelloweye rockfish
72233528,2014-08-10,research,-124.2209289097,49.3149873163,Yellowtail Rockfish
72234830,2014-08-14,research,-124.221491674,49.3148511112,Tiger Rockfish
72234876,2014-08-14,research,-124.2227536649,49.3153861191,Tiger Rockfish
72234953,2014-08-14,research,-124.2213580631,49.3147215387,Tiger Rockfish
72235009,2014-08-14,research,-124.2242763065,49.3159245207,Yelloweye rockfish
72235092,2014-08-14,research,-124.2223665737,49.3151691633,Yellowtail Rockfish
72238125,2014-08-15,research,-124.2422331008,49.3150319196,Quillback Rockfish
72238152,2014-08-15,research,-124.2428811975,49.3145703053,Tiger Rockfish
72238192,2014-08-15,research,-124.2426563912,49.3146550209,Tiger Rockfish
72238256,2014-08-15,research,-124.2424905929,49.3147241772,Tiger Rockfish
72238358,2014-08-15,research,-124.2433202727,49.3144296363,Yelloweye rockfish
72238389,2014-08-15,research,-124.2430093281,49.3145026908,Yelloweye rockfish
72238458,2014-08-15,research,-124.24294277,49.3145870773,Yelloweye rockfish
72238484,2014-08-15,research,-124.2425451218,49.3146279389,Yelloweye rockfish
72238511,2014-08-15,research,-124.2422196001,49.3147262374,Yelloweye rockfish
72238551,2014-08-15,research,-124.2422261755,49.3145703053,Yelloweye rockfish
72238590,2014-08-15,research,-124.2421043548,49.3147241772,Yelloweye rockfish
72238687,2014-08-15,research,-124.2424262199,49.3147101889,Yelloweye rockfish
72238719,2014-08-15,research,-124.2423919496,49.314626766,Yelloweye rockfish
72238753,2014-08-15,research,-124.2424925323,49.314601046,Yelloweye rockfish
72238786,2014-08-15,research,-124.24197904,49.3146594577,Yelloweye rockfish
72238809,2014-08-15,research,-124.2418039474,49.3147661422,Yelloweye rockfish
72243727,2021-03-03,research,-124.2429767363,49.3133733869,copper rockfish
72245759,2014-08-30,research,-124.2431557807,49.3144164329,copper rockfish
72246124,2014-08-30,research,-124.2430914077,49.3144723866,Yelloweye rockfish
72246177,2014-08-30,research,-124.2429534223,49.3144803518,Yelloweye rockfish
72246201,2014-08-30,research,-124.242431485,49.3147630833,Yelloweye rockfish
72246223,2014-08-30,research,-124.2427749593,49.3146496063,Yelloweye rockfish
72246265,2014-08-30,research,-124.2414391686,49.3151407289,Yelloweye rockfish
72246314,2014-08-30,research,-124.2425874856,49.3145535235,Yelloweye rockfish
72274146,2014-08-31,research,-124.2430023923,49.3146412852,Tiger Rockfish
72274267,2014-08-31,research,-124.2426861609,49.3146682239,Tiger Rockfish
72274589,2014-08-31,research,-124.2429397115,49.3146080959,Yelloweye rockfish
72275972,2014-09-01,research,-124.2217995839,49.3151298372,Tiger Rockfish
72276029,2014-09-01,research,-124.2233932647,49.3150319196,Tiger Rockfish
72276087,2014-09-01,research,-124.2210329208,49.3148081072,Tiger Rockfish
72281710,2014-09-04,research,-124.2429917936,49.3145406717,Tiger Rockfish
72281808,2014-09-04,research,-124.2427877215,49.3146677724,Tiger Rockfish
72281990,2014-09-04,research,-124.2428317751,49.3144930919,Tiger Rockfish
72282637,2014-09-04,research,-124.2432671997,49.3144132095,Yelloweye rockfish
72282708,2014-09-04,research,-124.2426622543,49.3146542355,Yelloweye rockfish
72282803,2014-09-04,research,-124.2419601939,49.3150502537,Yelloweye rockfish
72282915,2014-09-04,research,-124.2421285221,49.3150105285,Yelloweye rockfish
72283027,2014-09-04,research,-124.2423304227,49.3147599298,Yelloweye rockfish
